rank,name,states,year,category,damage,adjusted_damage
1,Katrina,"FL, LA, MS",2005,3,125.00,160.00
2,Harvey,"TX, LA",2017,4,125.00,125.00
3,Maria,PR,2017,5,90.00,90.00
4,Sandy,"NY, NJ, MA",2012,1,65.00,70.20
5,Irma,FL,2017,5,50.00,50.00
6,Andrew,"FL, LA",1992,5,27.00,47.80
7,Ike,"TX, LA",2008,2,30.00,34.80
8,Ivan,"AL, FL",2004,3,20.50,27.10
9,Wilma,FL,2005,3,19.00,24.30
10,Rita,"LA, TX",2005,3,18.50,23.70
11,Florence,NC,2018,1,24.00,24.00
12,Charlie,FL,2004,4,16.00,21.10
13,Irene,NC,2011,1,13.50,14.90
14,Matthew,SE US,2016,1,10.00,10.30
15,Frances,FL,2004,2,9.80,12.90
16,Allison,TX,2001,1,8.50,11.80
17,Jeanne,FL,2004,3,7.50,9.90
18,Hugo,SC,1989,4,7.00,14.10
19,Floyd,"NY, MA",1999,2,6.50,9.60
20,Gustav,LA,2008,2,6.00,6.90
21,Michael,"FL, GA",2018,5,25.10,25.10
