Hurricane,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
Maria,72127,0,10,70,0,2017,1,10812,243600,244421,245419,2012949528,808254343,24800847,633,1,1,1,1,1,1,1,1,21,0.2,-943,-0.4,-758,-0.3,-709,-0.3,10751066,0.5,5935568,0.7,-875177,-3.4,5,0.8
Maria,72127,1,10,71,0,2017,1,69,8417,8353,8291,156317208,0,0,1439,1.04,1.74,1.73,1.72,2.85,0,0,1.65,-1,-1.4,308,3.8,236,2.9,154,1.9,4636920,3.1,0,0,0,0,2,0.1
Maria,72127,2,10,71,0,2017,1,193,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,-3,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,3,10,71,0,2017,1,3,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,5,10,71,0,2017,1,10547,176997,177515,178734,1347228034,799665671,24547311,583,1.01,0.86,0.86,0.86,0.78,1,1,0.91,25,0.2,-958,-0.5,-431,-0.2,-303,-0.2,23999888,1.8,7146697,0.9,-856326,-3.4,12,2.1
Maria,72127,0,10,70,0,2017,2,10882,244989,244931,242887,1984082476,281039701,9210737,625,1,1,1,1,1,1,1,1,42,0.4,-3162,-1.3,-2808,-1.1,-1975,-0.8,37108808,1.9,-6167427,-2.1,-626465,-6.4,18,3
Maria,72127,1,10,71,0,2017,2,69,8266,8214,8295,154652992,0,0,1441,1.04,1.73,1.73,1.76,2.68,0,0,1.54,-1,-1.4,69,0.8,35,0.4,90,1.1,16463124,11.9,0,0,0,0,144,11.1
Maria,72127,2,10,71,0,2017,2,191,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,-3,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,3,10,71,0,2017,2,3,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,5,10,71,0,2017,2,10619,178260,178894,178505,1310040183,279696570,9162219,564,1.01,0.86,0.86,0.86,0.79,1.02,1,0.91,46,0.4,-1326,-0.7,-969,-0.5,-90,-0.1,18315977,1.4,-5702202,-2,-621390,-6.4,10,1.8
Maria,72127,0,10,70,0,2017,3,10568,240073,240636,240775,1913569009,112602503,3762274,612,1,1,1,1,1,1,1,1,-136,-1.3,-1812,-0.7,-2513,-1,-5936,-2.4,-91315969,-4.6,-12468752,-10,-585013,-13.5,-20,-3.2
Maria,72127,1,10,71,0,2017,3,69,8135,8116,8186,152258133,0,0,1438,1.08,1.72,1.73,1.75,2.7,0,0,1.56,0,0,-27,-0.3,18,0.2,-24,-0.3,-10439867,-6.4,0,0,0,0,-96,-6.3
Maria,72127,2,10,71,0,2017,3,190,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,-1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,3,10,71,0,2017,3,3,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,5,10,71,0,2017,3,10306,176584,176818,176683,1252088240,112135352,3742238,545,1.01,0.85,0.85,0.86,0.77,1.02,1,0.9,-135,-1.3,1153,0.7,1076,0.6,-1606,-0.9,-61172361,-4.7,-12229412,-9.8,-580955,-13.4,-27,-4.7
Maria,72127,0,10,70,0,2017,4,10539,237144,245229,254992,2171562516,124881844,4219072,680,1,1,1,1,1,1,1,1,-155,-1.4,-12477,-5,-4436,-1.8,-451,-0.2,-30891595,-1.4,19697489,18.7,546915,14.9,7,1
Maria,72127,1,10,71,0,2017,4,68,8212,9342,9744,173860620,0,0,1470,1.08,1.8,1.99,1.98,2.91,0,0,1.51,-2,-2.9,0,0,940,11.2,1278,15.1,15021351,9.5,0,0,0,0,8,0.5
Maria,72127,2,10,71,0,2017,4,187,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,-2,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,3,10,71,0,2017,4,3,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria,72127,5,10,71,0,2017,4,10281,173001,179356,188965,1457194345,124552679,4205763,621,1.01,0.86,0.86,0.87,0.79,1.03,1,0.91,-151,-1.4,-7509,-4.2,-2847,-1.6,1022,0.5,3621104,0.2,19763235,18.9,545916,14.9,12,2
Harvey,48201,0,10,70,0,2017,1,114861,2238117,2254247,2265373,42275070847,13952423330,456711869,1444,1,1,1,1,1,1,1,1,1969,1.7,-23630,-1,-16798,-0.7,-3755,-0.2,1419877165,3.5,47345588,0.3,82319066,22,58,4.2
Harvey,48201,1,10,71,0,2017,1,182,24995,24945,24899,570115985,0,0,1758,0.26,0.56,0.56,0.56,0.5,0,0,0.88,0,0,779,3.2,458,1.9,369,1.5,15291218,2.8,0,0,0,0,10,0.6
Harvey,48201,2,10,71,0,2017,1,72,52110,52143,52252,973040511,0,0,1435,0.09,0.72,0.7,0.7,0.69,0,0,0.98,0,0,2384,4.8,2269,4.5,2256,4.5,44612027,4.8,0,0,0,0,3,0.2
Harvey,48201,3,10,71,0,2017,1,303,195408,200800,201604,2453821912,36682024,36655,947,0.15,0.87,0.88,0.88,0.68,0.25,0.02,0.77,-8,-2.6,1469,0.8,2435,1.2,2442,1.2,128096933,5.5,3929791,12,-552380,-93.8,40,4.4
Harvey,48201,5,10,71,0,2017,1,114304,1965604,1976359,1986618,38278092439,13915741306,456675214,1490,1.03,1.04,1.04,1.04,1.06,1.01,1.01,1.02,1977,1.8,-28262,-1.4,-21960,-1.1,-8822,-0.4,1231876987,3.3,43415797,0.3,82871446,22.2,62,4.3
Harvey,48201,0,10,70,0,2017,2,114645,2268731,2280307,2286618,36461719900,3421584369,89990456,1231,1,1,1,1,1,1,1,1,1656,1.5,-3432,-0.2,9092,0.4,18168,0.8,-42991,0,43974880,1.3,15505811,20.8,-4,-0.3
Harvey,48201,1,10,71,0,2017,2,181,24897,24960,25017,558735227,0,0,1722,0.26,0.56,0.56,0.56,0.53,0,0,0.93,-1,-0.5,314,1.3,273,1.1,246,1,51207935,10.1,0,0,0,0,140,8.8
Harvey,48201,2,10,71,0,2017,2,68,51398,51462,51532,957848528,0,0,1432,0.08,0.7,0.7,0.71,0.75,0,0,1.06,-4,-5.6,1145,2.3,710,1.4,379,0.7,-3826630,-0.4,0,0,0,0,-27,-1.9
Harvey,48201,3,10,71,0,2017,2,302,203480,203763,200523,2521911329,4305039,4281,958,0.15,0.89,0.89,0.9,0.72,0.08,0.01,0.81,-6,-1.9,3777,1.9,3112,1.6,3374,1.7,62199259,2.5,-642777,-13,-89703,-95.4,8,0.8
